#Group	Point	X	Y	Z
1	1	1.0000	0.0013	0
1	2	0.9500	0.0147	0
1	3	0.9000	0.0271	0
1	4	0.8000	0.0489	0
1	5	0.7000	0.0669	0
1	6	0.6000	0.0814	0
1	7	0.5000	0.0919	0
1	8	0.4000	0.098	0
1	9	0.3000	0.0976	0
1	10	0.2500	0.0941	0
1	11	0.2000	0.088	0
1	12	0.1500	0.0789	0
1	13	0.1000	0.0659	0
1	14	0.0750	0.0576	0
1	15	0.0500	0.0473	0
1	16	0.0250	0.0339	0
1	17	0.0125	0.0244	0
1	18	0.0000	0	0
1	19	0.0125	-0.0143	0
1	20	0.0250	-0.0195	0
1	21	0.0500	-0.0249	0
1	22	0.0750	-0.0274	0
1	23	0.1000	-0.0286	0
1	24	0.1500	-0.0288	0
1	25	0.2000	-0.0274	0
1	26	0.2500	-0.025	0
1	27	0.3000	-0.0226	0
1	28	0.4000	-0.018	0
1	29	0.5000	-0.014	0
1	30	0.6000	-0.01	0
1	31	0.7000	-0.0065	0
1	32	0.8000	-0.0039	0
1	33	0.9000	-0.0022	0
1	34	0.9500	-0.0016	0
1	35	1.0000	-0.0013	0
